Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C90415	C90013		ECG Lead	LEAD V3		A unipolar electrocardiogram lead site; the electrode is placed on the anterior chest wall midway between leads V2 and V4. In large and small animals, it is placed over the dorsal spinous process of the 7th thoracic vertebra. (NCI)	Lead Site V3
C90416	C90013		ECG Lead	LEAD V4		A unipolar electrocardiogram lead site; the electrode is placed at the fifth intercostal space on the anterior chest wall (between ribs 5 and 6) at the left midclavicular line. In small animals it corresponds to V4-V6 where it is placed at the 6th left intercostal space near the costochondral junction. In large animals it is placed over the 6th rib at the level of a horizontal line drawn through the scapulohumeral articulation on the left side of the thorax. (NCI)	Lead Site V4
C90417	C90013		ECG Lead	LEAD V5		A unipolar electrocardiogram lead site; the electrode is placed on the anterior chest wall level with lead V4 at the left anterior axillary line. In large animals it is placed on the sixth ICS on the right side of the thorax along a line parallel to the level of the point of the shoulder corresponding to the electrical center of the heart (central terminal). (NCI)	Lead Site V5
C90418	C90013		ECG Lead	LEAD V6		A unipolar electrocardiogram lead site at which the electrode is placed on the anterior chest wall level with lead V5 at the left midaxillary line .	Lead Site V6
C117760	C90013		ECG Lead	SML	Global Median Beat; Superimposition of Multiple Leads	Measurement methodology using multiple leads for the determination of an ECG parameter. This is often visually represented as a superimposition of the median beats from multiple leads.	Superimposition of Multiple Leads
C71150		Yes	ECG Result	EGSTRESC	ECG Result	Terminology codelist used with ECG Findings and Abnormalities within CDISC.	CDISC SDTM ECG Finding Terminology
C111088	C71150		ECG Result	1ST DEGREE AV BLOCK	1st degree AV block; PR Prolongation; Prolonged PR interval	An electrocardiographic finding of prolonged PR interval for a specific population. For adults one common threshold is a PR interval greater than 0.20 seconds. Note that other thresholds may be applicable.	AV Block First Degree by ECG Finding
C71044	C71150		ECG Result	2:1 AV BLOCK	2:1 AV block	An electrocardiographic finding of a supraventricular rhythm where the ratio of impulses generated above the atrioventricular node to the number of impulses conducted through to the ventricles is 2:1. This is manifest on the ECG as 2 P waves per QRS complex.	2:1 Atrioventricular Block by ECG Finding
C62016	C71150		ECG Result	2ND DEGREE AV BLOCK	Second Degree AV Block	An electrocardiographic finding of intermittent failure of atrial electrical impulse conduction to the ventricles. This is manifest on the ECG by regular P waves which intermittently are not followed by QRS complexes.	AV Block Second Degree by ECG Finding
C111091	C71150		ECG Result	3RD DEGREE AV BLOCK	3rd Degree Heart Block; AV block, complete (third-degree); Complete Heart Block	An electrocardiographic finding of complete failure of atrial electrical impulse conduction to the ventricles. This is manifest on the ECG by disassociation of atrial and ventricular rhythms. The atrial rate must be faster than the ventricular rate.	AV Block Third Degree by ECG Finding
C114165	C71150		ECG Result	50 Hz NOISE	50 Hz Artifact; 50 Hz Noise	An electrocardiographic recording showing power line interference with the electrocardiographic signal. The artifact amplitude modulation has the same frequency as the AC power system present (50 Hz).	50 Hertz Noise by ECG Finding
C114164	C71150		ECG Result	60 Hz NOISE	60 Hz Artifact; 60 Hz Noise	An electrocardiographic recording showing power line interference with the electrocardiographic signal. The artifact amplitude modulation has the same frequency as the AC power system present (60 Hz).	60 Hertz Noise by ECG Finding
C116132	C71150		ECG Result	ABERRANTLY CONDUCTED COMPLEXES	Aberrantly Conducted Beats	An electrocardiographic finding of an abnormally wide QRS complex(es) of supraventricular origin with prolonged QRS duration due to aberrant AV conduction.	Aberrantly Conducted Complexes by ECG Finding
C114149	C71150		ECG Result	AC NOISE	AC Noise	An electrocardiographic recording showing power line interference with the electrocardiographic signal. The artifact amplitude modulation has the same frequency as the AC power system present (usually 50 Hz or 60 Hz).	Alternating Current Noise by ECG Finding
C62266	C71150		ECG Result	ACCELERATED IDIOVENTRICULAR RHYTHM	Accelerated idioventricular rhythm	An electrocardiographic finding of idioventricular rhythm with a rate greater than 50 beats per minute.	Accelerated Idioventricular Rhythm by ECG Finding
C71065	C71150		ECG Result	ACUTE ANTERIOR WALL MYOCARDIAL INFARCTION	Acute Anterior MI; Acute Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V3 and V4, which is suggestive of acute myocardial infarction of the anterior wall of the left ventricle.	Acute Anterior Myocardial Infarction by ECG Finding
C102591	C71150		ECG Result	ACUTE ANTEROLATERAL WALL MYOCARDIAL INFARCTION	Acute Anterolateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V3 through V6, which is suggestive of acute myocardial infarction of the anterolateral wall of the left ventricle.	Acute Anterolateral Myocardial Infarction by ECG Finding
C102592	C71150		ECG Result	ACUTE ANTEROSEPTAL WALL MYOCARDIAL INFARCTION	Acute Anteroseptal Wall Myocardial Infarction; Acute anteroseptal MI	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V1 through V4, which is suggestive of acute myocardial infarction of the anteroseptal wall of the left ventricle.	Acute Anteroseptal Myocardial Infarction by ECG Finding
C106496	C71150		ECG Result	ACUTE EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION		An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V1 to V6, I and aVL, which is suggestive of acute myocardial infarction involving the anterior and anterolateral walls of the left ventricle.	Acute Extensive Anterior Wall Myocardial Infarction by ECG Finding
C102593	C71150		ECG Result	ACUTE HIGH LATERAL WALL MYOCARDIAL INFARCTION	Acute High Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads I and aVL, which is suggestive of acute myocardial infarction of the high lateral wall of the left ventricle.	Acute High Lateral Myocardial Infarction by ECG Finding
C71066	C71150		ECG Result	ACUTE INFERIOR WALL MYOCARDIAL INFARCTION	Acute Inferior MI; Acute Inferior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads III, aVF and often II, which is suggestive of acute myocardial infarction of the inferior wall of the left ventricle.	Acute Inferior Myocardial Infarction by ECG Finding
C71067	C71150		ECG Result	ACUTE LATERAL WALL MYOCARDIAL INFARCTION	Acute Lateral MI; Acute Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V5, V6, I and aVL, which is suggestive of acute myocardial infarction of the lateral wall of the left ventricle.	Acute Lateral Myocardial Infarction by ECG Finding
C101596	C71150		ECG Result	ACUTE MYOCARDIAL INFARCTION	Acute Myocardial Infarction	An electrocardiographic finding showing a current of injury with ST elevation. No specification is provided for localization.	Acute Myocardial Infarction by ECG Finding
C71068	C71150		ECG Result	ACUTE POSTERIOR WALL MYOCARDIAL INFARCTION	Acute Posterior MI; Acute Posterior Wall Myocardial Infarction	An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, upright T wave, with accompanying ST elevation, which is suggestive of acute myocardial infarction of the posterior wall of the left ventricle. Evidence of inferior or lateral myocardial infarction is usually also present.	Acute Posterior Myocardial Infarction by ECG Finding
C102594	C71150		ECG Result	ACUTE RIGHT VENTRICULAR WALL MYOCARDIAL INFARCTION	Acute Right Ventricular Wall Myocardial Infarction; Acute Right ventricular MI	An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, upright T wave, with accompanying ST elevation, which is suggestive of acute myocardial infarction of the ventricular wall of the left ventricle. Evidence of inferior or lateral myocardial infarction is usually also present. Additional criteria include ST elevation > 100 microvolts in the right precordial leads V4R through V6R.	Acute Right Ventricular Myocardial Infarction by ECG Finding
C102595	C71150		ECG Result	ACUTE SEPTAL WALL MYOCARDIAL INFARCTION	Acute Septal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves with accompanying ST elevation in leads V1, V2 and often V3, which is suggestive of acute myocardial infarction of the intraventricular septum.	Acute Septal Myocardial Infarction by ECG Finding
C102642	C71150		ECG Result	ADVANCED/HIGH GRADE AV BLOCK	Advanced/High Grade AV Block	An electrocardiographic finding of intermittent failure of atrial electrical impulse conduction to the ventricles, characterized by two or more consecutive non-conducted P waves.	High Grade Atrioventricular Block by ECG Finding
C114159	C71150		ECG Result	ALL PRECORDIAL ELECTRODES DISCONNECTED		An electrocardiographic recording in which all precordial electrodes are disconnected resulting in missing waveforms (flat line) of all leads V1 - V6.	All Precordial Electrodes Are Disconnected by ECG Finding
C71069	C71150		ECG Result	ANTERIOR WALL MYOCARDIAL INFARCTION	Anterior MI; Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 and V4, which is suggestive of myocardial infarction of the anterior wall of the left ventricle.	Anterior Myocardial Infarction by ECG Finding
C35303	C71150		ECG Result	ANTEROLATERAL WALL MYOCARDIAL INFARCTION	Anterolateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 through V6, which is suggestive of myocardial infarction of the anterolateral wall of the left ventricle.	Anterolateral Myocardial Infarction by ECG Finding
C35304	C71150		ECG Result	ANTEROSEPTAL WALL MYOCARDIAL INFARCTION	Anteroseptal MI; Anteroseptal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1 through V4, which is suggestive of myocardial infarction of the anteroseptal wall of the left ventricle.	Anteroseptal Myocardial Infarction by ECG Finding
C114162	C71150		ECG Result	ARTIFACT		An electrocardiographic recording in which one or more leads display extraneous signals which do not represent cardiac electrical activity.	Artifact Lead Signal by ECG Finding
C116130	C71150		ECG Result	ASYSTOLE		An electrocardiographic finding showing no cardiac electrical activity on the ECG for the entire duration of the recording.	Asystole by ECG Finding
C102596	C71150		ECG Result	ATRIAL BIGEMINY		An electrocardiographic finding of a sinus beat followed by a premature atrial complex for three or more consecutive cycles; a regularly irregular rhythm of normal and abnormal P waves in a 1-1 ratio.	Atrial Bigeminy by ECG Finding
C102597	C71150		ECG Result	ATRIAL COUPLETS	Atrial Couplets	An electrocardiographic finding in which two premature atrial complexes occur sequentially.	Atrial Couplet by ECG Finding
C71039	C71150		ECG Result	ATRIAL ENLARGEMENT	Atrial Enlargement	An electrocardiographic finding which comprises left, right or bilateral atrial enlargement. This is may be characterized by prolonged P wave duration, increased P wave amplitude, or multi-component P waves.	Atrial Enlargement by ECG Finding
C111092	C71150		ECG Result	ATRIAL FIBRILLATION	Atrial fibrillation	An electrocardiographic finding of a supraventricular arrhythmia characterized by the replacement of consistent P waves by rapid oscillations or fibrillatory waves that vary in size, shape and timing and are accompanied by an irregularly irregular ventricular response.	Atrial Fibrillation by ECG Finding
C111094	C71150		ECG Result	ATRIAL FLUTTER	Atrial flutter	An electrocardiographic finding of an organized, regular atrial rhythm with atrial rate of 240-340 beats per minute. Multiple P waves typically appear in the inferior leads in a saw tooth like pattern between the QRS complexes.	Atrial Flutter by ECG Finding
C111105	C71150		ECG Result	ATRIAL TACHYCARDIA	Atrial tachycardia	An electrocardiographic finding of an organized, regular atrial rhythm with atrial rate between 101 and 240 beats per minute. The P wave morphology must be distinct from the sinus P wave morphology.	Atrial Tachycardia by ECG Finding
C119249	C71150		ECG Result	ATRIAL TACHYCARDIA WITH AV BLOCK		An electrocardiographic finding of an atrial tachycardia which does not display 1:1 AV conduction.	Atrial Tachycardia With AV Block by ECG Finding
C102598	C71150		ECG Result	ATRIAL TRIGEMINY	Atrial Trigeminy	An electrocardiographic finding of two sinus beats followed by a premature atrial complex for 3 or more consecutive cycles; a regularly irregular rhythm of normal and abnormal P waves in a 2-1 ratio.	Atrial Trigeminy by ECG Finding
C71045	C71150		ECG Result	ATRIOVENTRICULAR DISSOCIATION	AV Dissociation; Atrioventricular dissociation	An electrocardiographic finding in which the electrical activity of the atria and ventricles are independent of one another.	Atrioventricular Dissociation by ECG Finding
C111089	C71150		ECG Result	AV MOBITZ I	AV Mobitz I; Mobitz I Second Degree AV Block; Second degree AV block- Mobitz type I; Second-degree AV block, Mobitz type I (Wenckebach); Type 1 2nd degree AV Block; Wenckebach	An electrocardiographic finding of intermittent failure of atrial electrical impulse conduction to the ventricles, characterized by a progressively lengthening PR interval prior to the block of an atrial impulse.	AV Block Second Degree Mobitz Type I by ECG Finding
C111090	C71150		ECG Result	AV MOBITZ II	Mobitz II AV Block; Mobitz II Second Degree AV Block; Type 2 2nd degree AV Block	An electrocardiographic finding of intermittent failure of atrial electrical impulse conduction to the ventricles, characterized by a relatively constant PR interval prior to the block of an atrial impulse.	AV Block Second Degree Mobitz Type II by ECG Finding
C35058	C71150		ECG Result	AV NODE RE-ENTRY	AV Node Reentrant Supraventricular Tachycardia	An electrocardiographic finding of a regular supraventricular tachycardia due to reentry within the AV node. It is characterized by P waves which typically occurs nearly simultaneously with the QRS complex, resulting in a P wave which is obscured by the QRS, merged with the QRS or which may follow the QRS.	Atrioventricular Nodal Reentry Tachycardia by ECG Finding
C62261	C71150		ECG Result	AV RE-ENTRANT TACHYCARDIA	AV Reentrant Supraventricular Tachycardia	An electrocardiographic finding of a regular supraventricular tachycardia which utilizes an atrioventricular bypass tract as its retrograde limb (orthodromic tachycardia) or as its antegrade limb (antidromic tachycardia). QRS complexes during sinus rhythm may show preexcitation. During orthodromic tachycardia the preexcitation is not present and a retrograde P wave may appear after the QRS complex. During antidromic tachycardia the QRS complex is preexcited.	Atrioventricular Reentrant Tachycardia by ECG Finding
C114147	C71150		ECG Result	BASELINE WANDER		An electrocardiographic recording in which the isoelectric line in one or more leads is vertically displaced resulting in low frequency upward and downward movements of the signal with varying amplitudes.	Baseline Wander by ECG Finding
C71046	C71150		ECG Result	BIFASCICULAR BLOCK	Bifascicular block	An electrocardiographic finding comprising right bundle branch block and left anterior fascicular block, or right bundle branch block and left posterior fascicular block. Defects occurring in two of the three divisions of the conduction system of the heart are considered bifascicular blocks. Technically left bundle branch block may be considered a bifascicular block. (NCI)	Bifascicular Block by ECG Finding
C106502	C71150		ECG Result	BIVENTRICULAR HYPERTROPHY		An electrocardiographic finding suggestive of enlargement or thickening of both ventricles, with a combination of findings which are related to LVH and RVH, such as voltage criteria for LVH in the presence of marked right axis deviation.	Biventricular Hypertrophy by ECG Finding
C92228	C71150		ECG Result	BORDERLINE QTcB	Borderline QTcB	An electrocardiographic finding in which the QT interval corrected for heart rate using Bazett's formula is slightly prolonged. Thresholds for different age, gender, and patient populations exist.	Borderline QTcB
C92229	C71150		ECG Result	BORDERLINE QTcF	Borderline QTcF	An electrocardiographic finding in which the QT interval corrected for heart rate using Fridericia's formula is slightly prolonged. Thresholds for different age, gender, and patient populations exist.	Borderline QTcF
C111120	C71150		ECG Result	BRADYCARDIA	Bradycardia	An electrocardiographic finding of abnormally slow heart rate. Thresholds for different age, gender, and patient populations exist.	Bradycardia by ECG Finding
C106503	C71150		ECG Result	BRUGADA SYNDROME PATTERN		An electrocardiographic finding of complete or incomplete right bundle branch block accompanied by ST elevation in leads V1-V3. This may be noted at rest or can be provoked by medication challenge.	Brugada Syndrome Pattern by ECG Finding
C116138	C71150		ECG Result	CV ENDPOINTS ISCHEMIC ECG CHANGES		An electrocardiographic finding, in the absence of left ventricular hypertrophy (LVH) and left bundle branch block pattern on ECG, of either a) new (or presumed new) ST elevation at the J point in two contiguous leads with the following cut-points: >=0.1 mV in all leads other than leads V2-V3 where the following cut points apply: >=0.2 mV in men >=40 years; >=0.25 mV in men <40 years, or >=0.15 mV in women; or b) new (or presumed new) horizontal or down-sloping ST depression >=0.05 mV in two contiguous leads and/or T inversion >=0.1 mV in two contiguous leads with prominent R wave or R/S ratio >1. (Thygesen K, Alpert JS, Jaffe AS, et al.: the Writing Group on behalf of the Joint ESC/ACCF/AHA/WHF Task Force for the Universal Definition of Myocardial Infarction. J Am Coll Cardiol 60(16):1-18, 2012)	ACC/AHA Ischemic ECG Changes
C62258	C71150		ECG Result	DELTA WAVE	Delta wave	An electrocardiographic finding of initial slurring (delta wave) of the QRS complex due to the presence of an accessory pathway. This characteristic ECG pattern is typically seen in Wolff-Parkinson-White syndrome.	Delta Wave by ECG Finding
C102623	C71150		ECG Result	DEXTROCARDIA	Dextrocardia	An electrocardiographic finding suggestive of dextrocardia with situs inversus, characterized by reversal of normal anterior R wave progression and the appearance of reversal of the right and left arm electrodes.	Dextrocardia by ECG Finding
C102628	C71150		ECG Result	EARLY R WAVE TRANSITION	Early R Wave Progression; Early R Wave Transition	An electrocardiographic finding where the amplitude of the R wave becomes greater than the amplitude of the S wave in the QRS complex at an unusually early point in the precordial leads, usually in leads V1 or V2.	Early R Wave Transition by ECG Finding
C102629	C71150		ECG Result	EARLY REPOLARIZATION	Early Repolarization	An electrocardiographic finding of J point and ST segment elevation in the absence of other signs of acute ischemia or pericarditis.	Early Repolarization
C114175	C71150		ECG Result	ECG ACQUIRED WITH PRECORDIAL ELECTRODES PLACED ON RIGHT CHEST		An electrocardiographic recording in which the precordial electrodes have been placed over the right chest and record a right sided ECG.	ECG Acquired with Precordial Electrodes Placed on the Right Chest
C114181	C71150		ECG Result	ECG EVALUATION NOT PERFORMED DUE TO CORRUPTED DIGITAL ECG FILE		A digital electrocardiographic recording which is corrupted (i.e. ECG signal cannot be restored) such that measurements and/or interpretation cannot be performed.	ECG Evaluation Not Performed Due to Corrupted Digital ECG File
C114180	C71150		ECG Result	ECG EVALUATION NOT PERFORMED DUE TO POOR QUALITY OF PRINTED ECG		A printed electrocardiographic recording with poor printout quality (e.g. a faded paper ECG tracing or ECG with inconsistent printing speed) such that measurements and/or interpretation cannot be performed.	ECG Evaluation Not Performed Due to Poor Quality of Printed ECG
C114178	C71150		ECG Result	ECG EVALUATION NOT PERFORMED DUE TO UNKNOWN ECG AMPLITUDE GAIN OR RECORDING SPEED		An electrocardiographic recording in which measurements and/or interpretation are not performed because the ECG amplitude gain and/or recording speed are not known.	ECG Evaluation Not Performed Due to Unknown ECG Amplitude Gain or Recording Speed
C62245	C71150		ECG Result	ECTOPIC ATRIAL RHYTHM	Ectopic atrial rhythm	An electrocardiographic finding of a regular atrial rhythm with atrial rate of less than 101 beats per minute which does not originate in the sinus node, and which is characterized by P waves whose morphology differs from the P wave morphology during sinus rhythm.	Ectopic Atrial Rhythm by ECG Finding
C71042	C71150		ECG Result	ECTOPIC VENTRICULAR RHYTHM	Ectopic ventricular rhythm	An electrocardiographic finding of three or more consecutive complexes of ventricular origin. The QRS complexes are wide and have an abnormal morphology.	Ectopic Ventricular Rhythm by ECG Finding
C71035	C71150		ECG Result	ELECTRICAL ALTERNANS	Electrical alternans	An electrocardiographic finding in which there is an alternating pattern of any of the waveform components. (NCI)	Electrical Alternans by ECG Finding
C106520	C71150		ECG Result	EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION		An electrocardiographic finding of pathologic Q waves in leads V1 to V6, I and aVL, which is suggestive of myocardial infarction involving the anterior and anterolateral walls of the left ventricle.	Extensive Anterior Wall Myocardial Infarction by ECG Finding
C102639	C71150		ECG Result	FUSION COMPLEX	Fusion Complex; Fusion complex(es)	An electrocardiographic finding that occurs when electrical activation of the atria or ventricles occurs from two separate sites. This results in a P wave or QRS complex that displays merged characteristics of beats originating from the two different sites.	Fusion Complex
C102643	C71150		ECG Result	HIGH LATERAL WALL MYOCARDIAL INFARCTION	High Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads I and aVL, which is suggestive of myocardial infarction of the high lateral wall of the left ventricle.	High Lateral Myocardial Infarction by ECG Finding
C50599	C71150		ECG Result	IDIOVENTRICULAR RHYTHM	Idioventricular Rhythm	An electrocardiographic finding of three or more consecutive complexes of ventricular origin with a rate less than a certain threshold (100 or 120 beats per minute are commonly used). The QRS complexes are wide and have an abnormal morphology.	Idioventricular Rhythm
C114167	C71150		ECG Result	INCOMPLETE ECG		An electrocardiographic recording which is limited in duration or which does not display all of the expected leads.	Incomplete ECG
C71047	C71150		ECG Result	INCOMPLETE LEFT BUNDLE BRANCH BLOCK	Incomplete left bundle branch block	An electrocardiographic finding of a wide QRS complex with evidence of delayed conduction to the left ventricle, manifest as a widened initial portion of the QRS complex in leads V5, V6, I and aVL and with QRS duration less than 120 ms.	Incomplete Left Bundle Branch Block by ECG Finding
C114179	C71150		ECG Result	INCOMPLETE MEASUREMENTS DUE TO TRUNCATION OF QRS COMPLEXES		An electrocardiographic recording in which measurements (particularly of QRS amplitudes) and/or interpretations are not performed because QRS complexes have been truncated.	Incomplete ECG Measurements Due to Truncation of QRS Complexes
C71048	C71150		ECG Result	INCOMPLETE RIGHT BUNDLE BRANCH BLOCK	Incomplete right bundle branch block; Incomplete right bundle-branch block	An electrocardiographic finding of a wide QRS complex with evidence of delayed conduction to the right ventricle, manifest by a widened initial portion of the QRS in V1 and V2, a widened S wave in V5, V6, I and aVL, and with QRS duration less than 120 ms.	Incomplete Right Bundle Branch Block by ECG Finding
C114169	C71150		ECG Result	INCOMPLETELY DIGITIZED ECG LEAD(S)		A digital electrocardiographic recording which was digitized from paper ECG tracings and which does not contain all leads present on the original paper printout.	Incompletely Digitized ECG Leads
C114168	C71150		ECG Result	INCORRECTLY SCALED ECG		An electrocardiographic recording in which the ECG signal is not displayed at the indicated recording speed and/or amplitude resolution.	Incorrectly Scaled ECG
C102701	C71150		ECG Result	INDETERMINATE QRS AXIS	Indeterminate Axis; Indeterminate QRS Axis; QRS Axis Indeterminate	An electrocardiographic finding in which the frontal plane QRS axis cannot be calculated.	QRS Axis Indeterminate
C35398	C71150		ECG Result	INFERIOR WALL MYOCARDIAL INFARCTION	Inferior MI; Inferior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads III, aVF and often II, which is suggestive of myocardial infarction of the inferior wall of the left ventricle.	Inferior Myocardial Infarction by ECG Finding
C114177	C71150		ECG Result	INSUFFICENT NUMBER OF BEATS TO COMPLETELY EVALUATE ECG		An electrocardiographic recording in which fewer than the required number of cardiac complexes are available for measurement and/or interpretation due to a shorter than planned recording or due to cardiac complexes which are present but are not suitable for measurement and/or interpretation.	Insufficient Number of Beats for Complete ECG Evaluation
C71073	C71150		ECG Result	INTRAATRIAL CONDUCTION DELAY	Intraatrial Conduction Delay	An electrocardiographic finding of a delay in impulse propagation through the atria. This is characterized by broad P waves which are often biphasic in V1.	Intra-Atrial Conduction Delay by ECG Finding
C62271	C71150		ECG Result	INTRAVENTRICULAR CONDUCTION DELAY, NONSPECIFIC	Intraventricular Conduction Defect; Intraventricular conduction delay	An electrocardiographic finding of a widened QRS duration typically greater than 110 ms which does not meet the morphologic criteria for any of the standard bundle branch or fascicular block patterns.	Nonspecific Intraventricular Conduction Delay by ECG Finding
C114171	C71150		ECG Result	INVALID ECG WAVEFORMS		An electrocardiographic recording for which the displayed leads do not represent the individual's true ECG lead information.	Invalid ECG Waveforms
C62248	C71150		ECG Result	ISORHYTHMIC DISSOCIATION	Isorhythmic dissociation	An electrocardiographic finding of a type of atrioventricular dissociation characterized by the atria (P waves) and ventricles (QRS complexes) beating at similar rates, although independently.	Isorhythmic Atrioventricular Dissociation
C71030	C71150		ECG Result	J POINT ELEVATION	J point elevation	An electrocardiographic finding of a significant elevation above the baseline of the J point.	J Point Elevation
C71074	C71150		ECG Result	JUNCTIONAL BRADYCARDIA	Junctional bradycardia	An electrocardiographic finding of a junctional rhythm with a heat rate which is abnormally low.	Junctional Bradycardia by ECG Finding
C116129	C71150		ECG Result	JUNCTIONAL ESCAPE COMPLEXES	Junctional Escape Beats	An electrocardiographic finding of an escape beat following a pause which originates in the AV junction. This is manifest as a QRS complex of supraventricular origin not preceded by a P wave.	Junctional Escape Complexes by ECG Finding
C102652	C71150		ECG Result	JUNCTIONAL PREMATURE COMPLEX	Junctional Extra Beat; Junctional Premature Complex; Junctional premature complex(es)	An electrocardiographic finding of an ectopic impulse originating in the AV junction presenting as a QRS complex of supraventricular origin which is not preceded by a P wave.	Junctional Premature Complex by ECG Finding
C71051	C71150		ECG Result	JUNCTIONAL RHYTHM	Junctional rhythm	An electrocardiographic finding of a rhythm which originates in the AV junction and results in a normal heart rate. It is characterized by retrograde P waves which may be obscured by or may follow the QRS complexes. The QRS complexes may be narrow or may demonstrate aberration.	Junctional Rhythm by ECG Finding
C35059	C71150		ECG Result	JUNCTIONAL TACHYCARDIA	Junctional tachycardia	An electrocardiographic finding of a junctional rhythm with a heart rate which is abnormally elevated.	Junctional Tachycardia by ECG Finding
